CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
22.1,200.31,535.74,14.15
89.7,204.50,32.41,17.70
108.3,202.45,27.29,18.95
86.0,205.17,22.58,16.42
145.9,202.50,27.10,19.25
57.4,205.92,34.52,15.24
87.3,203.25,34.07,15.07
50.9,205.92,38.93,16.53
50.4,203.25,39.09,16.74
86.9,206.58,34.21,14.11
54.7,203.91,36.26,13.95
77.2,206.58,38.56,15.11
54.0,203.91,36.66,13.65
55.5,206.58,35.53,13.29
51.4,203.91,38.38,13.51
78.9,206.58,37.48,13.98
81.6,203.91,36.25,13.38
48.6,206.58,40.57,16.25
56.4,203.91,34.61,13.72
54.5,206.58,36.15,13.92
52.8,203.91,37.32,13.20
78.4,206.58,37.68,13.35
78.2,203.91,37.84,14.10
54.5,206.58,36.19,13.79
51.0,203.91,38.68,13.95
84.4,206.58,35.02,13.25
51.3,203.91,38.48,14.25
81.2,206.58,36.40,13.31
52.9,203.91,37.27,13.31
51.9,206.58,38.02,13.52
53.3,203.91,37.01,13.89
51.8,206.58,37.98,13.54
82.7,203.91,35.64,13.45
52.8,206.58,37.35,13.62
48.1,203.91,41.00,16.83
103.1,206.58,38.22,17.31
80.0,203.91,36.93,17.46
55.2,206.58,35.64,16.16
75.3,203.91,39.24,16.82
84.6,206.58,34.88,15.87
79.3,203.91,37.29,15.96
78.6,206.58,37.56,16.36
52.0,203.91,37.89,16.57
78.8,206.58,37.50,16.59
77.3,203.91,38.25,16.91
54.4,206.58,36.19,16.34
81.0,203.91,36.46,15.97
78.2,206.58,37.82,15.84
52.7,203.91,37.36,16.29
82.2,206.59,35.89,16.02
78.7,203.92,37.48,15.95
53.8,206.59,36.60,15.86
77.9,203.92,37.96,16.51
56.1,206.59,35.04,13.62
54.5,203.92,36.05,13.31
52.4,206.59,37.61,13.24
78.9,203.92,37.49,14.22
78.0,206.59,37.93,14.19
54.6,203.92,36.06,13.41
52.3,206.59,37.75,13.41
52.0,203.92,37.98,13.97
79.8,206.59,37.06,13.31
53.4,203.92,36.87,13.50
52.8,206.59,37.34,13.57
79.0,203.92,37.47,13.90
53.4,206.61,36.91,13.16
77.9,203.94,38.00,14.02
55.2,206.61,35.69,13.74
51.2,203.94,38.51,13.79
55.1,206.61,35.65,13.30
77.0,203.94,38.42,13.39
52.4,206.61,37.64,14.12
79.2,203.94,37.35,13.47
55.3,206.61,35.64,13.26
51.7,203.94,38.17,13.56
52.6,206.61,37.48,13.72
52.8,203.94,37.36,13.33
82.8,206.61,35.68,13.37
50.9,203.94,38.77,13.78
54.2,206.61,36.32,13.92
78.6,203.94,37.61,13.85
53.4,206.61,36.92,13.26
51.8,203.94,38.09,13.74
81.8,206.61,36.15,13.51
51.0,203.94,38.68,13.32
55.7,206.61,35.42,13.32
75.6,203.94,39.17,13.99
54.9,206.61,35.87,13.42
53.8,203.94,36.47,13.24
80.7,206.61,36.63,13.29
52.5,203.94,37.56,14.14
54.8,206.61,35.90,13.65
53.6,203.94,36.75,14.01
84.2,206.61,35.04,13.44
81.2,203.94,36.43,13.88
55.4,206.61,35.54,13.76
55.4,203.94,35.53,13.87
55.7,206.61,35.29,13.29
83.2,203.94,35.25,13.33
57.0,206.61,34.51,13.43
54.3,203.94,36.27,13.98
86.0,206.61,34.30,13.75
55.0,203.94,35.80,14.22
57.2,206.61,34.44,13.86
55.9,203.94,35.21,13.54
85.5,206.61,34.51,13.17
55.6,203.94,35.40,13.52
82.9,206.61,35.64,13.37
55.9,203.94,35.27,14.43
57.6,206.61,34.19,13.63
55.4,203.94,35.56,13.95
82.3,206.61,35.75,14.11
83.5,203.94,35.55,13.38
58.1,206.61,33.88,13.65
56.9,203.94,34.57,13.36
56.5,206.61,34.87,13.49
83.4,203.94,35.37,13.72
83.7,206.61,35.31,14.07
55.8,203.94,35.26,13.74
56.6,206.61,34.74,13.21
54.8,203.94,35.89,13.41
57.0,206.61,34.59,13.29
83.0,203.94,35.63,13.60
56.6,206.61,34.86,13.57
54.9,203.94,35.93,14.22
85.7,206.61,34.40,13.82
55.3,203.94,35.62,13.25
56.9,206.61,34.57,13.39
56.7,203.94,34.77,13.37
84.1,206.61,35.14,13.20
53.8,203.94,36.67,13.71
54.7,206.61,36.02,13.82
77.2,203.94,38.31,13.39
88.0,206.61,33.54,13.45
51.4,203.94,38.41,13.70
26.4,206.61,37.35,13.85
78.6,203.94,37.63,13.21
53.2,206.61,36.97,13.44
78.0,203.94,37.90,13.95
79.1,206.61,37.39,13.40
54.4,203.94,36.20,13.35
52.8,206.61,37.38,13.47
52.1,203.94,37.90,14.02
53.7,206.61,36.70,13.58
82.2,203.94,35.97,13.35
54.8,206.61,35.95,13.27
53.0,203.94,37.24,13.82
82.3,206.61,35.91,13.92
54.6,203.94,36.05,13.43
56.4,206.61,34.96,13.21
82.0,203.94,36.08,13.41
55.3,206.61,35.63,13.61
55.0,203.94,35.82,14.02
84.4,206.61,34.98,13.78
55.2,203.94,35.71,13.43
