CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
119.8,201.16,692.90,178.29
317.7,217.30,304.81,288.47
369.7,218.02,226.79,215.68
365.5,218.02,226.71,216.12
369.3,218.02,221.58,211.35
375.7,218.02,228.47,209.94
364.0,218.02,213.90,193.71
373.0,218.03,219.50,210.37
372.5,218.03,219.81,209.43
368.9,218.03,216.56,205.49
370.9,218.31,250.34,240.87
370.4,218.31,207.52,197.73
373.3,218.31,213.96,205.83
369.8,218.31,216.09,204.70
370.1,218.31,223.98,214.79
368.0,218.33,208.84,197.18
377.5,218.33,214.23,204.50
365.1,218.33,202.30,192.29
373.7,218.33,221.66,210.84
376.1,218.33,209.70,200.27
368.3,218.33,219.54,209.89
369.9,218.33,210.47,201.07
374.9,218.33,215.69,206.13
372.3,218.33,214.48,204.68
372.8,218.33,211.53,201.49
371.6,218.33,217.62,208.08
375.4,218.33,212.72,205.68
370.5,218.33,231.74,222.41
374.7,218.33,205.13,195.46
369.4,218.33,221.11,205.66
366.5,218.33,212.48,203.10
370.1,218.33,215.80,206.35
350.3,218.33,250.94,239.78
372.9,218.33,216.88,207.00
368.7,218.33,203.04,192.30
353.7,218.33,234.32,226.29
373.2,218.33,216.72,206.69
372.3,218.33,222.59,212.51
368.2,218.33,219.59,210.35
373.4,218.33,221.89,212.30
374.3,218.33,213.34,203.74
369.0,218.33,208.23,197.10
369.5,218.33,218.84,205.59
372.4,218.33,211.80,202.24
365.1,218.33,213.27,201.68
370.2,218.33,218.42,203.91
372.7,218.33,216.94,206.34
368.8,218.33,211.15,200.34
376.4,218.33,212.18,202.66
370.4,218.33,215.59,206.93
371.4,218.33,220.33,210.20
370.4,218.33,218.28,208.01
368.9,218.33,211.10,199.56
369.8,218.33,221.41,210.51
371.2,218.33,215.17,205.66
374.2,218.33,229.48,219.00
370.0,218.33,213.14,203.74
372.2,218.33,209.19,198.58
370.3,218.33,207.55,196.90
373.3,218.33,213.92,202.89
369.9,218.33,213.22,203.66
376.0,218.33,217.74,207.96
368.0,218.33,206.17,195.20
364.8,218.33,218.91,204.54
372.2,218.33,211.91,197.13
372.0,218.33,203.96,194.59
374.4,218.33,218.64,207.36
368.7,218.33,224.70,215.14
369.2,218.33,227.16,212.05
372.4,218.33,211.80,200.64
365.5,218.33,218.50,208.47
369.7,218.33,213.31,203.00
370.3,218.33,204.85,198.07
375.8,218.33,215.19,207.60
370.0,218.33,215.98,205.89
377.6,218.33,206.33,199.40
373.2,218.33,211.21,201.25
366.3,218.33,226.12,219.25
365.7,218.33,223.99,215.87
372.2,218.33,222.79,217.07
370.2,218.33,215.86,209.66
371.7,218.33,217.71,211.54
371.7,218.33,209.59,202.24
372.0,218.33,222.88,215.90
375.9,218.33,220.43,213.74
365.7,218.33,218.54,211.82
374.0,218.33,213.37,203.76
377.0,218.33,217.28,211.22
374.9,218.33,210.49,203.53
365.2,218.33,218.82,209.63
371.7,218.33,209.58,203.40
370.9,218.33,212.79,205.91
376.1,218.33,209.47,202.75
371.4,218.33,217.74,210.99
371.4,218.33,212.48,205.82
370.0,218.33,199.76,190.20
370.2,218.33,207.80,198.82
367.9,218.33,217.19,203.88
368.6,218.33,205.64,195.74
370.3,218.33,199.44,189.37
374.0,218.33,208.16,199.28
367.4,218.33,214.27,203.27
375.9,218.33,201.83,192.23
371.2,218.33,215.14,205.78
368.9,218.33,213.74,204.19
370.1,218.33,210.39,202.48
371.1,218.33,215.20,204.88
368.4,218.33,208.67,198.10
368.3,218.33,211.38,201.82
375.7,218.33,212.63,206.33
368.9,218.33,222.02,215.51
372.1,218.33,209.40,203.12
373.4,218.33,216.72,208.09
373.8,218.33,213.79,200.60
