CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
88.7,824.22,2113.07,1480.82
267.0,831.22,123.33,107.86
279.9,831.95,96.21,81.28
304.1,831.97,85.24,72.61
311.9,831.98,79.85,65.60
314.1,832.00,72.97,65.21
321.8,832.00,64.88,56.59
339.6,832.00,64.38,55.84
324.9,832.00,70.44,60.23
333.0,832.00,68.70,58.80
313.5,832.00,69.87,60.12
335.0,832.00,71.41,65.74
350.2,832.00,62.56,53.97
364.0,832.00,60.11,49.74
364.6,832.00,57.33,49.81
360.9,832.00,57.80,50.24
362.4,832.02,57.63,51.08
363.9,832.02,60.24,47.87
372.3,832.02,56.16,48.42
343.4,832.02,57.89,46.96
348.8,832.02,57.08,47.96
358.4,832.02,63.84,44.96
358.1,832.02,64.00,42.13
343.8,832.02,63.77,39.61
274.5,832.02,83.59,58.60
192.7,830.78,150.23,137.32
225.9,831.72,119.08,108.75
255.0,831.72,105.54,89.03
331.8,831.72,72.11,63.18
335.2,831.72,53.41,45.45
357.0,831.72,58.39,50.79
375.2,831.72,52.92,45.56
352.2,831.72,56.40,48.73
360.8,831.72,55.08,47.31
348.5,831.72,54.14,42.48
322.9,831.72,67.61,42.63
334.2,831.72,65.39,41.97
324.1,831.72,67.56,44.74
345.4,831.72,66.32,43.18
317.3,831.72,62.68,39.78
337.0,831.72,67.91,42.09
313.4,831.72,69.97,45.43
351.5,831.72,65.20,42.25
324.4,831.72,67.53,44.13
341.0,831.72,70.04,43.26
285.0,830.78,143.63,120.60
206.4,831.72,178.88,161.34
285.4,831.72,83.46,75.88
357.1,831.72,66.95,56.35
359.0,831.72,60.93,50.60
374.6,831.73,55.68,48.85
360.1,831.73,57.27,49.08
357.2,831.73,61.26,50.68
367.0,831.73,59.69,51.91
336.8,831.73,61.88,51.34
379.1,831.73,60.45,50.42
258.9,831.73,88.47,79.30
200.5,831.73,154.36,145.88
298.6,831.73,76.81,68.64
346.5,831.73,57.50,47.96
341.9,831.73,55.28,43.50
352.6,831.73,67.74,43.70
332.3,831.73,68.98,48.27
345.7,831.73,69.18,47.02
