CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
32.4,267.31,1071.14,66.08
231.1,270.55,64.17,53.73
186.0,271.48,80.22,72.86
242.8,270.55,69.65,64.08
236.0,271.48,62.91,54.82
292.1,270.56,57.78,52.25
292.9,271.50,53.90,47.30
239.0,270.56,57.84,50.28
286.3,271.50,55.24,49.59
250.2,270.56,59.25,51.61
223.7,271.50,66.41,59.16
236.6,270.56,66.98,60.67
277.5,271.50,53.41,47.09
295.1,270.56,56.94,49.03
262.7,271.50,56.58,50.81
286.5,270.56,55.32,48.73
292.3,271.50,57.48,50.87
247.4,270.56,59.97,53.26
271.5,271.50,54.71,48.53
244.3,270.56,60.85,53.32
303.0,271.50,58.91,52.11
263.1,270.56,56.34,49.74
279.7,271.50,53.11,46.78
234.8,270.83,63.43,50.74
268.6,271.77,55.39,49.46
297.1,270.83,56.57,50.08
229.3,271.77,55.98,48.38
278.9,270.83,64.02,57.68
287.9,271.77,55.05,48.97
278.0,270.83,57.01,50.39
274.6,271.77,54.22,47.36
247.7,270.83,59.63,52.34
284.1,271.77,55.59,49.15
249.0,270.83,59.68,52.38
269.2,271.77,55.19,47.73
245.6,270.83,56.47,50.57
306.9,271.77,54.88,48.29
242.7,270.83,57.14,50.30
274.2,271.77,57.85,50.50
276.7,270.83,57.02,50.73
295.4,271.77,53.49,47.23
262.2,270.83,56.57,49.73
266.5,271.77,55.62,49.47
275.6,270.83,57.38,51.02
267.1,271.77,59.39,51.95
274.7,270.83,57.81,52.04
313.2,271.77,53.63,47.21
258.5,270.83,57.50,51.23
281.6,271.77,56.12,48.75
225.4,270.83,57.15,51.25
269.2,271.77,58.69,49.54
268.4,270.83,58.85,52.39
289.3,271.77,54.44,47.86
227.0,270.83,56.53,50.21
298.4,271.77,53.09,46.70
274.6,270.83,57.68,50.50
295.7,271.77,53.57,47.13
263.6,270.83,56.31,49.90
292.2,271.77,53.71,46.49
187.4,271.33,79.51,63.62
161.4,272.69,80.08,68.64
253.0,271.91,66.79,56.42
268.5,272.84,59.02,52.43
288.0,271.91,58.42,49.12
272.9,272.84,57.89,51.03
260.2,271.91,60.37,52.66
286.7,272.84,55.20,48.81
246.5,271.91,60.29,50.32
301.5,272.84,59.19,51.68
251.6,271.91,58.96,51.30
255.3,272.84,58.25,50.78
246.8,271.91,60.24,52.66
309.9,272.84,57.59,49.92
134.6,271.91,88.61,75.64
139.6,272.84,92.48,84.79
190.7,271.91,93.79,76.29
195.7,272.84,70.78,62.57
240.4,271.91,70.30,61.52
243.1,272.84,61.40,54.51
257.7,271.91,57.86,50.85
265.8,272.84,63.64,55.56
266.8,271.91,55.92,49.28
299.2,272.84,56.52,50.62
272.4,271.91,54.70,47.71
239.1,272.84,58.24,51.06
303.6,271.91,55.59,48.55
226.5,272.84,57.10,50.79
293.7,271.91,54.18,47.39
246.3,272.84,64.52,57.04
273.1,271.91,54.48,47.52
259.3,272.84,57.56,50.34
303.4,271.91,55.73,47.23
260.0,272.84,61.21,52.65
242.5,271.91,65.66,57.47
246.2,272.84,64.65,55.71
233.3,271.91,63.80,55.29
249.9,272.84,63.70,55.70
188.2,271.91,73.98,61.23
97.7,272.84,100.20,88.88
106.9,271.91,101.01,80.96
133.5,272.84,96.61,87.74
237.6,271.91,71.07,62.83
243.3,272.84,69.21,60.43
217.6,271.91,68.07,57.24
256.0,272.84,65.54,57.23
232.9,271.91,67.52,60.03
165.8,272.84,89.63,82.06
194.9,271.91,75.97,67.41
210.1,272.84,75.38,66.32
251.7,271.91,70.82,63.15
205.6,272.84,71.87,61.44
234.2,271.91,67.76,61.30
232.2,272.84,63.09,55.58
243.6,271.91,61.26,55.42
262.5,272.84,56.81,49.75
281.1,271.91,53.06,45.72
245.0,272.84,56.76,50.26
306.6,271.91,54.98,48.58
262.9,272.84,56.52,50.08
210.9,271.91,66.01,59.83
215.5,272.84,69.16,62.78
214.4,271.91,74.18,64.55
111.0,272.84,80.51,71.13
144.0,271.91,82.65,72.64
193.9,274.08,76.11,62.79
236.8,273.14,58.66,51.61
252.6,274.08,58.84,52.97
223.0,273.14,66.82,59.93
